                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47174,                0.89113,                0.92186,                0.99419,                      1,                  0.995,                0.90796,                 0.4209,                0.61156,                0.78147,             0.00044396,             0.00044396,             0.00044396
                     37,                0.47728,                0.89055,                0.92276,                0.98452,                0.99862,                  0.995,                0.90123,                0.42536,                0.58324,                  0.787,             0.00044301,             0.00044301,             0.00044301
                     38,                0.49124,                0.85411,                0.94785,                0.98967,                0.99167,                0.99396,                0.91085,                0.40419,                0.53724,                0.78764,             0.00044207,             0.00044207,             0.00044207
                     39,                0.47061,                0.81014,                0.90413,                0.99355,                0.99167,                0.99492,                0.88834,                0.46003,                0.58917,                 0.8192,             0.00044113,             0.00044113,             0.00044113
                     40,                0.50149,                0.85039,                0.94577,                0.98821,                      1,                  0.995,                0.90735,                 0.4276,                0.59763,                0.80017,             0.00044019,             0.00044019,             0.00044019
                     41,                 0.4769,                0.84155,                0.92743,                0.98724,                      1,                  0.995,                0.89426,                0.43181,                0.55233,                0.80561,             0.00043924,             0.00043924,             0.00043924
                     42,                0.48863,                0.84012,                0.94244,                0.99745,                      1,                  0.995,                0.90341,                0.41288,                0.54513,                0.79176,              0.0004383,              0.0004383,              0.0004383
                     43,                0.47268,                0.77694,                0.93123,                0.99939,                0.99917,                  0.995,                0.93558,                0.38759,                0.49376,                0.77803,             0.00043736,             0.00043736,             0.00043736
                     44,                0.50708,                0.80421,                0.93938,                0.99775,                0.99888,                  0.995,                0.91533,                0.40034,                0.48461,                0.78608,             0.00043642,             0.00043642,             0.00043642
                     45,                0.46294,                  0.827,                0.93518,                0.99243,                0.99167,                0.99492,                0.91993,                0.39724,                0.48883,                0.77358,             0.00043547,             0.00043547,             0.00043547
                     46,                 0.4732,                0.77607,                0.92078,                0.99612,                      1,                  0.995,                0.92098,                0.38566,                0.44577,                0.76911,             0.00043453,             0.00043453,             0.00043453
                     47,                0.47145,                0.77963,                0.90468,                0.99612,                      1,                  0.995,                0.91291,                0.41689,                0.47662,                0.77666,             0.00043359,             0.00043359,             0.00043359
                     48,                0.45727,                0.74421,                0.91221,                0.99509,                      1,                  0.995,                 0.9165,                0.39897,                0.44964,                 0.7698,             0.00043265,             0.00043265,             0.00043265
                     49,                0.48781,                0.80893,                0.95048,                0.98431,                      1,                0.99459,                0.92944,                 0.3799,                0.45611,                0.76244,              0.0004317,              0.0004317,              0.0004317
                     50,                0.46857,                0.80824,                0.93424,                0.98543,                0.99103,                0.99475,                0.92186,                0.38096,                0.45385,                 0.7648,             0.00043076,             0.00043076,             0.00043076
                     51,                0.45964,                 0.7625,                0.92819,                0.99497,                0.99932,                  0.995,                0.92676,                0.39247,                0.43085,                 0.7766,             0.00042982,             0.00042982,             0.00042982
                     52,                0.45329,                 0.7342,                0.91755,                0.99393,                      1,                  0.995,                0.92544,                0.38325,                0.44417,                0.77152,             0.00042888,             0.00042888,             0.00042888
                     53,                0.43818,                0.69909,                0.91072,                0.99299,                0.99167,                0.99492,                0.92159,                0.38125,                0.46145,                0.77556,             0.00042793,             0.00042793,             0.00042793
                     54,                0.41566,                0.69318,                0.89345,                0.98782,                0.99167,                0.99484,                0.91988,                0.38511,                0.45696,                0.77667,             0.00042699,             0.00042699,             0.00042699
                     55,                 0.4562,                0.71012,                0.92727,                0.98698,                0.99925,                  0.995,                0.91526,                0.39246,                0.40463,                 0.7737,             0.00042605,             0.00042605,             0.00042605
                     56,                0.48552,                0.72182,                0.91673,                0.99321,                0.99963,                  0.995,                0.91614,                0.40916,                0.34829,                0.78016,             0.00042511,             0.00042511,             0.00042511
                     57,                0.45361,                0.67863,                0.91513,                0.99799,                      1,                  0.995,                0.92543,                0.38444,                0.31757,                0.77225,             0.00042416,             0.00042416,             0.00042416
                     58,                0.49071,                0.73536,                0.93795,                0.98936,                0.99937,                  0.995,                0.93491,                0.36278,                0.32329,                0.76448,             0.00042322,             0.00042322,             0.00042322
                     59,                0.44565,                0.70315,                 0.9314,                0.98683,                0.99929,                  0.995,                   0.93,                0.36609,                0.33696,                0.76618,             0.00042228,             0.00042228,             0.00042228
                     60,                0.40911,                0.65381,                0.90042,                0.98957,                0.99167,                0.99324,                0.92016,                0.37161,                0.34574,                0.76925,             0.00042134,             0.00042134,             0.00042134
                     61,                0.43786,                 0.6624,                0.90218,                0.99026,                0.99167,                0.99046,                0.92723,                0.36659,                 0.3413,                0.76992,             0.00042039,             0.00042039,             0.00042039
                     62,                0.42746,                0.66109,                0.90496,                0.98959,                0.99167,                0.99304,                 0.9269,                0.36613,                0.32712,                0.76409,             0.00041945,             0.00041945,             0.00041945
                     63,                0.46393,                0.65615,                0.91851,                0.99041,                0.99167,                0.99484,                0.93675,                0.35791,                0.31731,                0.75906,             0.00041851,             0.00041851,             0.00041851
                     64,                0.45422,                0.68126,                0.94653,                0.98461,                0.99949,                  0.995,                0.92055,                0.37705,                0.31718,                0.76969,             0.00041757,             0.00041757,             0.00041757
                     65,                0.44484,                0.65175,                0.91686,                0.98507,                0.99944,                0.99475,                0.92066,                0.37381,                0.31896,                 0.7715,             0.00041662,             0.00041662,             0.00041662
                     66,                0.44547,                0.63836,                0.90393,                0.99748,                0.99327,                  0.995,                0.91531,                0.38625,                0.32002,                0.76928,             0.00041568,             0.00041568,             0.00041568
                     67,                0.45109,                 0.6686,                0.91259,                0.99737,                      1,                  0.995,                0.92356,                 0.3814,                0.31081,                 0.7662,             0.00041474,             0.00041474,             0.00041474
                     68,                0.46718,                0.59778,                0.90594,                0.99099,                      1,                  0.995,                0.93834,                0.33971,                0.29759,                0.75019,              0.0004138,              0.0004138,              0.0004138
                     69,                0.45996,                0.63758,                0.93986,                 0.9871,                      1,                  0.995,                0.92369,                0.36333,                0.34655,                0.75503,             0.00041285,             0.00041285,             0.00041285
                     70,                0.40796,                0.61773,                0.88426,                0.98817,                      1,                  0.995,                0.93296,                0.35864,                0.35846,                0.75295,             0.00041191,             0.00041191,             0.00041191
                     71,                0.44214,                0.59367,                0.89862,                0.98703,                0.99911,                  0.995,                0.91287,                0.38905,                0.34042,                0.76466,             0.00041097,             0.00041097,             0.00041097
                     72,                0.47722,                0.63116,                0.92961,                0.98446,                0.99831,                  0.995,                0.92172,                0.39029,                0.34208,                0.78153,             0.00041003,             0.00041003,             0.00041003
                     73,                0.50276,                0.66083,                0.93409,                0.98469,                0.99899,                  0.995,                0.93548,                0.36554,                0.34733,                0.75796,             0.00040908,             0.00040908,             0.00040908
                     74,                0.45845,                0.65218,                0.90021,                0.99721,                      1,                  0.995,                0.92789,                0.35894,                0.31421,                0.76108,             0.00040814,             0.00040814,             0.00040814
                     75,                0.42164,                0.57318,                0.88604,                0.99868,                      1,                  0.995,                 0.9328,                0.36491,                0.29347,                0.75926,              0.0004072,              0.0004072,              0.0004072
                     76,                0.45537,                0.59481,                0.92155,                0.99866,                      1,                  0.995,                0.92787,                0.38311,                0.29482,                0.76464,             0.00040626,             0.00040626,             0.00040626
                     77,                0.41333,                 0.5666,                0.89467,                0.99899,                      1,                  0.995,                0.92573,                0.36467,                0.28114,                0.76177,             0.00040531,             0.00040531,             0.00040531
